Ingredients,Allergy name,Allergens
"vinegar, water, tomato concentrate, tomato paste, sugar, apples, salt, high fructose corn syrup, corn syrup, red pepper and spices.",spice allergy (uncommon),none specified (possible allergy to spices or red pepper for some individuals)
"tomato concentrate, tomato paste, water, vinegar, sugar, apples, salt, high fructose corn syrup, corn syrup, jalapenos, red pepper and spices.","jalapeño allergy (uncommon), spice allergy (uncommon)",none specified (possible allergy to spices or jalapeños for some individuals)
"crushed wheat, soy flour whole wheat flour. wheat flour, maltitol syrup, yeast, bran, oatmeal, multigrains, rye chops, malted barley, gluten, canola oil, salt, eggs.","egg allergy, gluten intolerance (common), soy allergy, wheat allergy","eggs, soy, wheat"
"tomato, red pepper, jalapeno pepper, special spices.","jalapeno allergy (uncommon), red pepper allergy (uncommon), spice allergy (uncommon)","jalapeno pepper, spices"
"water, cream, eggs, dark chocolate (sugar, chocolate liquor, cocoa butter, whole milk powder, milkfat, soy lecithin, vanilla extract), high fructose corn syrup, sugar, enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflav","dairy allergy, egg allergy, lactose intolerance, soy allergy (from soy lecithin), wheat allergy","cream, dark chocolate (contains milk and soy), eggs, enriched wheat flour, soy lecithin"
"coconut, sugar*, glucose syrup*, egg white, potato starch*, dextrose*.","coconut allergy, egg allergy","coconut, egg white"
"sugar*, coconut, glucose syrup*, egg white, dextrose*, potato starch*, vegetable fats (palm, palm kernel, coconut), defatted cocoa powder, stabilizer (sorbitan tristearate) emulsifier (soy lecithin*).","coconut allergy, egg allergy, soy allergy","coconut, egg white, soy"
"cream, eggs, high fructose corn syrup, water, enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oils (palm, coconut), corn syrup, modified starch, sugar, artificial flavor, whey, skim milk, s","dairy allergy, egg allergy, lactose intolerance, soy allergy, wheat allergy","eggs, milk, soy, wheat"
pure maple syrup.,none,none
pure maple syrup.,none,none
pure maple syrup.,none,none
pure maple syrup.,none,none
"blueberries, cane sugar syrup, blueberry flavor with other natural flavors, modified corn starch and citric acid.",none,none
"vinegar, light brown sugar, corn syrup, tomato concentrate, maple syrup, water, salt, onion, spices, natural flavorings, garlic, caramel color, vegetable gum, celery seed.",none,none
pure maple syrup,none,none
pure organic maple syrup.,none,none
pure maple syrup,none,none
pure maple syrup.,none,none
"durum wheat semolina, niacin, iron ferrous lactate), thiamin mononitrate, riboflavin, folic acid.","gluten intolerance (common), wheat allergy",wheat
"durum wheat semolina, niacin, iron (ferrous lactate). thiamin mononitrate, riboflavin, folic acid.","gluten intolerance (common), wheat allergy",wheat
"sugar, dark chocolate (sugar, chocolate liquor, cocoa butter, anhydrous milk fat, soy lecithin [emulsifier], vanilla), nougat (invert sugar, corn syrup, egg white, potato starch, artificial vanilla flavor, invertase), salted butter (sweet cream, salt), ev","dairy allergy, egg allergy, lactose intolerance, soy allergy","eggs, milk, soy"
"sugar, dark chocolate (sugar, chocolate liquor, cocoa butter, anhydrous milk fat, soy lecithin [emulsifier], vanilla), nougat invertase salted butter (sweet cream, salt), evaporated milk (milk, dipotassium phosphate & carrageenan [stabilizers], vitamin d3","dairy allergy, egg allergy, lactose intolerance, soy allergy","eggs, milk, soy"
"milk chocolate (sugar, whole milk, cocoa butter, chocolate liquor, soy lecithin [emulsifier], vanilla), white coating (sugar, partially hydrogenated palm kernel oil, nonfat milk powder, soy lecithin, monoglycerides, artificial color [titanium dioxide], ar","dairy allergy, lactose intolerance, soy allergy","milk, soy"
"milk chocolate (sugar, cocoa butter, whole milk, chocolate liquor, soy lecithin [emulsifier], vanilla), dark chocolate (sugar, chocolate liquor, cocoa butter, anhydrous milk fat, butter oil, soy lecithin [emulsifier], vanilla), nonpareils (sugar, cornstar","dairy allergy, lactose intolerance, soy allergy","milk, soy"
"milk chocolate (sugar, cocoa butter, milk, chocolate liquor, soy lecithin [emulsifier[, vanilla), pretzels (enriched wheat flour, salt, corn syrup, vegetable oil [may contain one or more of the following: corn, canola, cottonseed, soybean], sodium bicarbo","dairy allergy, gluten intolerance, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"mint cream (sugar, invert sugar, coconut oil, tapioca starch modified, dried egg whites, salt, invertase, citric acid peppermint oil), dark chocolate (sugar, chocolate liquor, cocoa butter, anhydrous milk fat, soy lecithin [emulsifier], and vanilla), anhy","dairy allergy, egg allergy, lactose intolerance, soy allergy","egg, milk, soy"
"coconut dough (invert sugar, desiccated coconut, corn syrup, cocoa butter, pure vanilla extract, artificial coconut flavor. salt, citric acid, sodium metabisulfate [preservative]), caramel (corn syrup, sugar, evaporated milk [milk, dipotassium phosphate &","coconut allergy, dairy allergy, lactose intolerance","coconut, milk"
"peanut butter center (peanut butter [dry roasted peanuts, hydrogenated cottonseed and rapeseed oil, salt], sugar, palm kernel oil, nonfat dry milk, peanut oil, soy lecithin [emulsifier], sorbitol, salt), dark chocolate (sugar, chocolate liquor, cocoa butt","dairy allergy, lactose intolerance, peanut allergy, soy allergy","milk, peanuts, soy"
"confectionery coating (sugar, vegetable oil [palm kernel and hydrogenated palm], whey powder [milk], nonfat dry milk, sorbitan monostearate, polysorbate 60, soy lecithin [emulsifier], vanillin), pretzel (enriched wheat flour [wheat flour, niacin reduced i","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"white coating (sugar, vegetable oil [palm kernel and hydrogenated palm], whey powder [milk], nonfat dry milk, sorbitan monostearate, polysorbate 60, soy lecithin [emulsifier], vanillin [artificial flavoring]), mini pretzel (enriched wheat flour [wheat flo","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"white coating (sugar, vegetable oil [palm kernel and hydrogenated palm]. whey powder [milk], nonfat dry milk, sorbitan monostearate, polysorbate 60, soy lecithin [emulsifier], vanillin [artificial flavoring]), nonpareils (sugar, cornstarch, confectioner's","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"white coating (sugar, vegetable oil [palm kernel and hydrogenated palm], whey powder [milk], nonfat dry milk, sorbitan monostearate, polysorbate 60, soy lecithin [emulsifier], vanillin [artificial flavoring]), cookie (unbleached enriched flour [wheat flou","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"confectionery coating (sugar, vegetable oil [palm kernel, hydrogenated palm and palm kernel], whey powder, nonfat dry milk,m whole milk solids, sorbitan monostearate, polysorbate 60, soy lecithin [emulsifier], vanillin [artificial flavoring], salt), nonpa","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"dark chocolate (sugar, chocolate liquor, cocoa butter, anhydrous milk fat, soy lecithin [emulsifier], vanilla), nonpareils (sugar, cornstarch, confectioner's glaze, carnauba wax, coloring [includes red #3, blue #1, red #3, yellow #5]), anhydrous milk fat.","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"milk chocolate (sugar, whole milk, cocoa butter, chocolate liquor, soy lecithin [emulsifier], vanilla), dark chocolate (sugar, chocolate liquor, cocoa nutter, anhydrous milk fat, soy lecithin [emulsifier], vanila), soy lecithin [emulsifier], vanilla).","chocolate allergy, lactose intolerance, milk allergy, soy allergy, wheat allergy","chocolate, milk, soy, wheat"
"caramel corn (corn syrup solids, brown sugar, sugar, popcorn, corn oil, butter [cream, salt], molasses, salt, soy lecithin [emulsifier], beta carotene [color]), chocolate flavored coating (sugar, partially hydrogenated palm kernel oil, nonfat dry milk, co","chocolate allergy, corn allergy (uncommon), lactose intolerance, milk allergy, soy allergy","corn, milk, soy"
"caramel corn (corn syrup solids, brown sugar, sugar, popcorn, corn oil, butter [cream, salt], molasses, salt, soy lecithin [emulsifier], beta carotene [color]), white coating (sugar, partially hydrogenated palm kernel oil, dry whey [milk], artificial flav","corn allergy (uncommon), lactose intolerance, milk allergy, soy allergy","corn, milk, soy"
"caramel corn (brown sugar, cane sugar, popcorn, butter [pasteurized sweet cream {milk}, salt], brown rice syrup, sunflower oil, soy lecithin, sea salt, baking soda), cheese corn (popcorn, sunflower oil, cheddar cheese [pasteurized milk, cheese culture, sa","corn allergy (uncommon), lactose intolerance, milk allergy, soy allergy","corn, milk, soy"
"white coating (sugar, vegetable oil [palm kernel and hydrogenated palm], whey powder [milk], nonfat dry milk, sorbitan monosterate, polysorbate 60, soy lecithin [emulsifier], vanillin), chocolate sandwich cookie (sugar, enriched flour [wheat flour, niacin","gluten intolerance (common), lactose intolerance, milk allergy, soy allergy","milk, soy, wheat"
"milk chocolate (sugar, whole milk, cocoa butter, chocolate liquor, soy lecithin [emulsifier], vanilla), confectionery coating (sugar, partially hydrogenated palm kernel oil, nonfat dry milk, whole milk solids, reduced mineral whey, soy lecithin, monoglyce","gluten intolerance (common), lactose intolerance, milk allergy, soy allergy","milk, soy, wheat"
"milk chocolate (sugar, whole milk, cocoa butter, chocolate liquor, soy lecithin [emulsifier], vanilla), confectionery coating (sugar, partially hydrogenated palm kernel oil, nonfat dry milk, whole milk solids, reduced mineral whey, soy lecithin [emulsifie","chocolate allergy, gluten intolerance (common), lactose intolerance, milk allergy, soy allergy","chocolate, milk, soy, wheat"
"milk chocolate (sugar, cocoa butter, milk, chocolate liquor, soy lecithin [emulsifier], vanilla), pretzel (enriched wheat flour, salt, corn syrup, vegetable oil [may contain corn, canola, cottonseed, soybean], sodium bicarbonate, yeast).","chocolate allergy, gluten intolerance (common), lactose intolerance, milk allergy, soy allergy","chocolate, milk, soy, wheat"
"white coating (sugar, partially hydrogenated palm kernel oil, dry whey [milk], artificial color, soy lecithin [emulsifier], salt, artificial flavor), pretzels (enriched wheat flour, salt, corn syrup, vegetable oil [may contain corn, canola, cottonseed, so","gluten intolerance (common), lactose intolerance, milk allergy, soy allergy","milk, soy, wheat"
"milk chocolate (sugar, whole milk, cocoa butter, chocolate liquor, soy lecithin [emulsifier], vanilla), graham cracker (whole wheat flour, enriched flour [wheat flour, niacin, reduced iron, thiamin mononitrate [vitamin b1], riboflavin [vitamin b2], folic","gluten intolerance (common), lactose intolerance, milk allergy, wheat allergy","milk, soy, wheat"
"caramel (corn syrup, sugar, evaporated milk [milk, dipotassium phosphate & carrageenan [stabilizers], vitamin d3], whipping cream, butter, water, salt, egg albumen, soy lecithin [emulsifier], vanilla), dark chocolate (sugar, chocolate liquor, cocoa butter","chocolate allergy, egg allergy, lactose intolerance, milk allergy","cocoa butter, eggs, milk, soy "
"milk chocolate (sugar, whole milk, cocoa butter, chocolate liquor, soy lecithin [emulsifier], vanilla), pecans, (roasted in sunflower oil, salt), caramel (corn syrup, sugar, evaporated milk [milk, dipotassium phosphate & carrageenan (stabilizers, vitamin","chocolate allergy, egg allergy, gluten intolerance, lactose intolerance, soy allergy","chocolate liquor, eggs, milk, soy lecithin, wheat flour"
"milk chocolate (sugar, whole milk, cocoa butter, chocolate liquor, soy lecithin [emulsifier], vanilla), pecans (roasted in peanut and/or cottonseed oil, salt), caramel (corn syrup, sugar, evaporated milk [milk, dipotassium phosphate & carrageenan (stabili","chocolate allergy, egg allergy, gluten intolerance, lactose intolerance, nut allergy, soy allergy","chocolate liquor, eggs, milk, pecans, soy lecithin, wheat flour"
"milk chocolate (sugar, whole milk, cocoa butter, chocolate liquor, soy lecithin [emulsifier], vanilla), pecans (roasted in peanut and/or cottonseed oil, salt), caramel (corn syrup, sugar, evaporated milk [milk, dipotassium phosphate & carrageenan {stabili","chocolate allergy, egg allergy, gluten intolerance, lactose intolerance, nut allergy, soy allergy","chocolate liquor, eggs, milk, pecans, soy lecithin, wheat flour"
"milk chocolate (sugar, whole milk, cocoa butter, chocolate liquor, soy lecithin [emulsifier], vanilla), graham cracker (whole wheat flour, enriched flour [wheat flour, niacin, reduced iron, thiamin mononitrate {vitamin b}, riboflavin {vitamin b2}, folic a","chocolate allergy, egg allergy, gluten intolerance, lactose intolerance, soy allergy","chocolate liquor, eggs, milk, soy lecithin, wheat flour"
"white coating (sugar, partially hydrogenated palm kernel oil, dry whey [milk], artificial color, soy lecithin [an emulsifier], salt, artificial flavor), pretzels (enriched wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, f","gluten intolerance, lactose intolerance, soy allergy","milk, soy lecithin, wheat flour"
"red coating (sugar, vegetable oil [palm kernel and hydrogenated palm kernel oil], whole milk solids, whey powder, nonfat dry milk solids, artificial color [red lake #40], soy lecithin [emulsifier], salt, artificial flavor), pretzels (enriched wheat flour,","gluten intolerance, lactose intolerance, soy allergy","milk, soy lecithin, wheat flour, whey powder"
"yogurt coating (sugar, palm kernel oil and palm oil, reduced mineral whey powder, whole milk powder, titanium dioxide, yogurt powder (cultured whey and nonfat milk) soy lecithin (an emulsifier), salt and vanilla) and pretzels (enriched wheat flour, salt,","gluten intolerance, lactose intolerance, soy allergy","milk, soy lecithin, wheat flour, whey powder"
"milk chocolate (sugar, cocoa butter, milk, chocolate liquor, soy lecithin (an emulsfier), vanilla), and pretzels enriched wheat flour, flour, salt, corn syrup, vegetable oil, sodium bicarbonate, yeast).","gluten intolerance, lactose intolerance, soy allergy","milk, soy lecithin, wheat flour"
"milk chocolate (sugar, cocoa butter, milk, chocolate liquor, soy lecithin (an emulsifier), and artificial falvor (vanillin)) and peanuts.","chocolate allergy, lactose intolerance, peanut allergy, soy allergy","milk, peanuts, soy lecithin"
"milk chocolate (sugar, cocoa butter, milk, chocolate liquor, soy lecithin (an emulsifier), vanilla), malted milk balls (corn syrup, whey powder, malted milk powder (malted barley, wheat flour, whole milk, bicarbonate of soda, salt), sugar, malt syrup, coc","barley allergy, chocolate allergy, lactose intolerance, soy allergy, wheat allergy",none
"milk chocolate (sugar, cocoa butter, whole milk, chocolate liquor, soy lecithin (an emulsifier), vanilla), raisins (usa), confectioner's polish (modified corn starch, sugar, citric acid, sorbic acid, water), confectioner's glaze.","barley allergy, chocolate allergy, lactose intolerance, soy allergy, wheat allergy","barley, chocolate liquor,milk, soy lecithin, wheat"
"dark chocolate (sugar, chocolate liquor, cocoa butter, anhydrous milk fat, soy lecithin (an emulsifier), and vanilla), almonds, gum arabic corn syrup, sugar, and certified confectioners glaze.","chocolate allergy, lactose intolerance, nut allergy, soy allergy","almonds, anhydrous milk fat, chocolate liquor, soy lecithin"
"dark chocolate (sugar, chocolate liquor, cocoa butter anhydrous butter oil, soy lecithin [emulsifier], vanilla), nonpareils (sugar, cornstarch, confectioner's glaze, carnauba wax).","chocolate allergy, soy allergy, sugar allergy(uncommon)","cocoa butter, soy lecithin, sugar"
"milk chocolate (sugar, cocoa butter, milk, chocolate liquor, soy lecithin (an emulsifier), vanilla), almonds, gum arabic, corn syrup, sugar and certified confectioners glaze (food grade lac resin).","almond allergy, gum arabic allergy, lactose intolerance, soy allergy, sugar allergy (uncommon)","almonds, gum arabic, milk, soy lecithin, sugar"
"apples, sugar, pie shell (flour [unenriched, unbleached], vegetable shortening [partially hydrogenated soybean oil], water, dextrose, salt, baking soda), butter, flour, tapioca starch, cinnamon, lemon flavor, vanilla.","dairy allergy, gluten intolerance, soy allergy","dairy, soy, wheat"
"fortified british wheat flour (wheat flour, calcium carbonate, niacin, iron, thiamin).",gluten intolerance,wheat
beetroot juice acid: citric acid,none,none
"wheat flour, palm oil (with tbhq for freshness), sesame seeds, malt, yeast, salt, molasses, leavening agent (sodium bicarbonate), sugar, thickeners (gum arabic, guar gum, carboxymethyl cellulose), artificial color (caramel).","gluten intolerance, soy allergy","sesame, wheat"
"wheat flour, dried potato flakes, palm oil (with tbhq for freshness), potato starch, salt, oat fibres, sugar, malt, leavening agent (sodium bicarbonate, ammonium bicarbonate), dextrose maltodextrin, emulsifier (soy lecithin), anti caking agent (silicon dioxide), citric acid, sodium diacetate, humectant (glycerol), artificial flavours, flavour enhancers (monosodium glutamate, disodium guanylate, disodium inosinate), artificial colour (beta carotene).","gluten intolerance, soy allergy","soy, wheat"
small red beans,none,none
"tomato puree (water, tomato paste), tomatoes, onions, bell peppers, jalapeno peppers, salt, distilled vinegar, garlic, coriander, oregano, paprika.",none,none
"sugar, wheat flour, tapioca syrup, malic acid, pineapple juice (from concentrate), artificial flavor, and artificial color (blue 1).",gluten intolerance,wheat
"tomatoes, okra, onion, green bell peppers, basil, lemon juice, sugar, garlic, parsley, pepper, salt, thyme and bay leaves.",none,none
"raspberry puree, water, sugar, lemon juice, pectin, guar",none,none
"coconut cream, water, sugar, dutch cocoa, pectin, guar.",none,none
"mixed berry puree, (raspberries, strawberries, blueberries), sugar, water, lemon juice, pectin, guar",none,none
"lemon juice, sugar, brown rice syrup, lemon pulp, pectin, guar, natural lemon flavor.",none,none
"coconut cream, water, sugar, brown rice syrup, coconut, natural flavor, pectin, guar",none,none
"mango puree, water, cane sugar, lemon juice, pectin, guar.",none,none
"organic tomato puree, organic diced tomatoes, organic mushrooms, organic sugar, salt, organic garlic powder, organic onion powder, organic minced onion, organic basil, organic parsley, organic oregano, organic black pepper.",none,none
"wheat flour, sugar, vegetable oil and fat non-hydrogenated (palm oil), corn starch, jam of mixed fruits (invert sugar syrup, apple puree, sour cherry puree, apricot puree, gelling agent: pectin, acidity regulator: citric acid), low fat cocoa powder, gluco",gluten intolerance,wheat
"wheat flour, sugar, not hydrogenated vegetable fat and oil (palm oil), corn starch, mixed fruit jam (invert sugar syrup, apple puree, sour cherry puree, apricot puree, jelling agent: pectin, acidifier: citric acid), glucose syrup, eggs, low fat cocoa powd","egg allergy, gluten intolerance","eggs, wheat"
"wheat flour, sugar, non-hydrogenated vegetal fats and oils (palm oil), corn starch, jam of mixed fruits (invert sugar syrup, apple puree, sugar cherry puree, apricot puree, gelling agent: pectin, acidity regulator: citric acid), fat-reduced cocoa powder,",gluten intolerance,wheat
"wheat flour, sugar, vegetal non-hydrogenated fats and oils (palm oil), semi-finished product in cocos 18% (sugar, non-hydrogenbated vegetal fat, fat-reduced cocoa powder 16%, emulsifier: soy lecithin, aromas), rice flour 5%, dried skimmed milk, rising age","dairy allergy, gluten intolerance, soy allergy","milk, soy, wheat"
"sugar, glucose syrup, citric acid, artificial flavor, artificial colors red 40, red 30, yellow 5, yellow 6, blue 1, titanium dioxide.",none,none
"sugar, glucose syrup, citric acid, artificial flavor, artificial colors red 40, yellow 5, blue 1, titanium dioxide.",none,none
"sugar, glucose syrup, citric acid, artificial flavors, red 40, red 3, yellow 5, yellow 6, blue 1",none,none
honey,none,none
"peanuts, sugar, vegetable oil, wheat flour and salt.","gluten intolerance, peanut allergy (common)","peanuts, wheat"
"vegetable fat (palm), wheat flour, sugar, chocolate 11% (sugar, cocoa mass, cocoa butter, butter fat, emulsifiers: sunflower lecithins); lactose, dextrose, low-fat cocoa, emulsifier: sunflower lecithins; powdered eggs, table salt, cinnamon, wheat starch,","dairy allergy, egg allergy, gluten intolerance","egg, milk, wheat"
"cucumbers, corn syrup, high fructose corn syrup, vinegar, salt, water, red bell pepper, 0.1% sodium benzoate (preservative), alum, xanthan gum, calcium chloride, natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, red bell pepper, calcium chloride, alum, xanthan gum, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"jalapeno peppers, water, vinegar, slat, dehydrated onions, dehydrated garlic, calcium chloride, 0.1% sodium benzoate (preservative), and yellow 5.",none,none
"jalapeno peppers, water, vinegar, salt, dehydrated onions, dehydrated garlic, calcium chloride, 0.1% sodium benzoate (preservative), and yellow 5.",none,none
"cucumbers, high fructose corn syrup, vinegar, water, salt, calcium chloride, alum, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, prepared mustard (water, vinegar, mustard seed, salt, turmeric), high fructose corn syrup, corn syrup, vinegar, salt, natural flavors, onion, calcium chloride, 0.1% sodium benzoate (preservative), alum, red bell pepper, xanthan gum, yellow 5, and polysorbate 80.",none,none
"cucumber, high fructose corn syrup, corn syrup, vinegar, water, salt, cornstarch, xanthan gum, 0.1% sodium benzoate (preservative), calcium chloride, alum, natural flavors, polysorbate 80, yellow 5, and maltol.",none,none
"cucumbers, water, vinegar, salt, cornstarch, sucralose (splenda brand), xanthan gum, red bell pepper, 0.1% sodium benzoate (preservative), calcium chloride, alum, natural flavors, polysorbate 80, yellow 5 and maltol.",none,none
"cucumbers, prepared mustard (water, vinegar, mustard seed, salt, turmeric), high fructose corn syrup, corn syrup, vinegar, salt, natural flavors, onion, calcium chloride, 0.1% sodium benzoate (preservative), alum, xanthan gum, red bell pepper, yellow 5, and polysorbate 80.","mustard allergy, onion allergy","mustard, onion"
"cucumbers, corn syrup, high fructose corn syrup, vinegar, salt, water, red bell pepper, 0.1% sodium benzoate (preservative), alum, xanthan gum, calcium chloride, natural and artificial flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), alum, natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, corn syrup, high fructose corn syrup, vinegar, salt, water, red bell pepper, 0.1% sodium benzoate (preservative), alum, xanthan gum, calcium chloride, natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, high fructose corn syrup, vinegar, water, salt, calcium chloride, alum, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, polysorbate 80, propylene glycol, calcium chloride, 0.1% sodium benzoate (preservative), natural and artificial flavors, potassium metabisulfite (preservative), and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), alum, natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, high fructose corn syrup, water, vinegar, salt, mustard seeds, onion flakes, calcium chloride, 0.1% sodium benzoate (preservatives), celery seeds, yellow 5, and maltol.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), alum, natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, high fructose corn syrup, water, vinegar, salt, mustard seeds, onion flakes, calcium chloride, 0.1% sodium benzoate (preservative), celery seeds, and yellow 5.",celery allergy (uncommon),celery
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumber, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, high fructose corn syrup, water, vinegar, salt, mustard seeds, onion flakes, calcium chloride, 0.1% sodium benzoate (preservative), celery seeds, and yellow 5.","celery allergy (uncommon), mustard allergy","celery, mustard"
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumber, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, potassium metabisulfite (preservative), and yellow 5.",sulfite allergy (uncommon),potassium metabisulfite
"cucumber, water, vinegar, salt, calcium chloride 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"imported peppers water, vinegar, salt, citric acid, calcium chloride, 0.1% sodium benzoate (preservative), sodium bisulfite (preservative), and yellow 5.",none,none
"banana peppers, onions, high fructose corn syrup, water, vinegar, salt, mustard seeds, calcium chloride, 0.1% sodium benzoate (preservative), celery seeds, natural flavors, polysorbate 80, sodium bisulfite (preservative), and yellow 5.",celery allergy (uncommon),celery
"imported peppers, water, vinegar, salt, citric acid, calcium chloride, 0.1% sodium benzoate (preservative), sodium bisulfite (preservative), and yellow 5.",none,none
"banana peppers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), polysorbate 80, sodium bisulfite (preservative), turmeric, and natural flavors.",none,none
"banana peppers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), polysorbate 80, sodium bisulfite (preservative), and turmeric.",none,none
"cucumbers, water, vinegar, salt, sucralose (splenda brand), xanthan gum, red bell pepper, 0.1% sodium benzoate (preservative), calcium cholride, alum, natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), alum, sucralose (splenda brand), natural flavors, xanthan gum, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, mustard seeds, onion flakes, celery seeds, calcium chloride, 0.1% sodium benzoate (preservative), sucralose (splenda brand), xanthan gum, and yellow 5.",celery allergy (uncommon),celery
"cucumbers, water, vinegar, salt, mustard seeds, onion flakes, celery seeds, calcium chloride, 0.1% sodium benzoate (preservative), sucralose (splenda brand), xathan gum, and yellow 5.","celery allergy (uncommon), mustard allergy","celery, mustard"
"cucumbers, water, vinegar, salt, mustard seeds, onion flakes, celery seeds, calcium chloride, 0.1% sodium benzoate (preservative), sucralose (splenda brand), xanthan gum, and yellow 5.","celery allergy (uncommon), mustard allergy","celery, mustard"
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), alum, natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), alum, natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), alum, natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, high fructose corn syrup, water, vinegar, salt, mustard seeds, onion flakes, calcium chloride, 0.1% sodium benzoate (preservative), celery seeds, yellow 5, and maltol.",celery allergy (uncommon),celery
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, onion flakes, garlic flakes, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, potassium metabisulfite (preservative), and yellow 5.",none,none
"cucumbers, high fructose corn syrup, water, vinegar, salt, mustard seeds, onion flakes, calcium chloride, 0.1% sodium benzoate (preservative), celery seeds, and yellow 5.",celery allergy (uncommon),celery
"cucumbers, corn syrup, high fructose corn syrup, vinegar, salt, water, red bell pepper, 0.1% sodium benzoate (preservative), alum, xanthan gum, calcium chloride, natural flavors, polysorbate 80, and yellow 5.",celery allergy (uncommon),celery
"cucumbers, high fructose corn syrup, vinegar, water, salt, calcium chloride, alum, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",celery allergy (uncommon),celery
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, high fructose corn syrup, water, vinegar, salt, mustard seeds, onion flakes, celery seeds, calcium chloride, 0.1% sodium benzoate (preservative), polysorbate 80, propylene glycol,extractives of chipotle chilies and other natural flavors, sunflower oil, and yellow 5.",celery allergy (uncommon),celery
